reference_area,time_period,observation_value
Hong Kong Special Administrative Region of China,1996,224.85858
Hong Kong Special Administrative Region of China,2001,209.94825
Hong Kong Special Administrative Region of China,2002,210.19711
Hong Kong Special Administrative Region of China,2003,212.69176
Hong Kong Special Administrative Region of China,2004,216.46062
Hong Kong Special Administrative Region of China,2005,220.07883999999999
Hong Kong Special Administrative Region of China,2006,221.7391
Hong Kong Special Administrative Region of China,2007,226.07796000000002
Hong Kong Special Administrative Region of China,2008,230.60988
Hong Kong Special Administrative Region of China,2009,234.90895999999998
Hong Kong Special Administrative Region of China,2010,239.53977
Hong Kong Special Administrative Region of China,2011,236.99902
Hong Kong Special Administrative Region of China,2012,270.28535999999997
Hong Kong Special Administrative Region of China,2013,265.16665
Hong Kong Special Administrative Region of China,2014,264.5745
Hungary,1997,244.79416
Hungary,1998,244.90413999999998
Hungary,1999,250.64999
Hungary,2000,255.2812
Hungary,2001,262.39557
Hungary,2002,267.10672
Hungary,2003,271.72168999999997
Hungary,2004,269.08373
Hungary,2005,269.78996
Hungary,2006,269.7398
Hungary,2007,269.73908
Hungary,2008,270.5182
Hungary,2009,272.08202
Hungary,2010,275.12275999999997
Hungary,2011,276.04501
Hungary,2012,277.16526
Hungary,2013,277.96014
Hungary,2014,276.58262
Iceland,1977,72.2815
Iceland,1998,258.46203
Iceland,1999,252.86967
Iceland,2000,248.47973000000002
Iceland,2001,247.51936
Iceland,2002,254.98622
Iceland,2003,259.85808
Iceland,2004,264.43249000000003
Iceland,2005,266.59635
Iceland,2006,268.06169
Iceland,2007,268.1251
Iceland,2008,268.08047999999997
Iceland,2009,264.66912
Iceland,2010,268.55319
Iceland,2011,265.17757
Iceland,2012,264.26495
India,2013,185.30836
Indonesia,1975,55.217909999999996
Indonesia,1976,57.81445
Indonesia,1977,58.81251
Indonesia,1978,62.49086
Indonesia,1987,42.06826
Indonesia,1995,125.41803999999999
Indonesia,2001,148.80806
Indonesia,2002,152.45848
Indonesia,2003,160.43623
Indonesia,2004,164.69188
Indonesia,2005,160.12368
Indonesia,2006,172.59954
Indonesia,2007,194.57959
Indonesia,2008,192.27301
Indonesia,2009,194.5575
Indonesia,2010,200.24070999999998
