Country or Area,Subgroup,Year,Source,Unit,Value,Value Footnotes
Botswana,Female,2001,UNESCO_UIS Database_Sep2007,Number,3597,
Botswana,Female,2000,UNESCO_UIS Database_Sep2007,Number,2684,
Botswana,Female,1999,UNESCO_UIS Database_Sep2007,Number,2436,
Botswana,Male,2005,UNESCO_UIS Database_Sep2007,Number,5501,
Botswana,Male,2004,UNESCO_UIS Database_Sep2007,Number,5462,
Botswana,Male,2002,UNESCO_UIS Database_Sep2007,Number,4618,
Botswana,Male,2001,UNESCO_UIS Database_Sep2007,Number,4054,
Botswana,Male,2000,UNESCO_UIS Database_Sep2007,Number,3648,
Botswana,Male,1999,UNESCO_UIS Database_Sep2007,Number,3096,
Brazil,Female,2004,UNESCO_UIS Database_Sep2007,Number,2408720,
Brazil,Female,2003,UNESCO_UIS Database_Sep2007,Number,2254291,
Brazil,Female,2002,UNESCO_UIS Database_Sep2007,Number,2022907,
Brazil,Female,2001,UNESCO_UIS Database_Sep2007,Number,1753483,
Brazil,Female,2000,UNESCO_UIS Database_Sep2007,Number,1562153,
Brazil,Female,1999,UNESCO_UIS Database_Sep2007,Number,1365159,
Brazil,Male,2004,UNESCO_UIS Database_Sep2007,Number,1866307,
Brazil,Male,2003,UNESCO_UIS Database_Sep2007,Number,1740131,
Brazil,Male,2002,UNESCO_UIS Database_Sep2007,Number,1559198,
Brazil,Male,2001,UNESCO_UIS Database_Sep2007,Number,1372262,
Brazil,Male,2000,UNESCO_UIS Database_Sep2007,Number,1219175,
Brazil,Male,1999,UNESCO_UIS Database_Sep2007,Number,1091802,
British Virgin Islands,Female,2005,UNESCO_UIS Database_Sep2007,Number,825,1
British Virgin Islands,Female,2004,UNESCO_UIS Database_Sep2007,Number,789,
British Virgin Islands,Female,2003,UNESCO_UIS Database_Sep2007,Number,735,1
British Virgin Islands,Female,2002,UNESCO_UIS Database_Sep2007,Number,523,
British Virgin Islands,Female,2001,UNESCO_UIS Database_Sep2007,Number,423,
British Virgin Islands,Female,2000,UNESCO_UIS Database_Sep2007,Number,540,1
British Virgin Islands,Female,1999,UNESCO_UIS Database_Sep2007,Number,598,
British Virgin Islands,Male,2005,UNESCO_UIS Database_Sep2007,Number,375,
British Virgin Islands,Male,2004,UNESCO_UIS Database_Sep2007,Number,347,
British Virgin Islands,Male,2003,UNESCO_UIS Database_Sep2007,Number,290,
British Virgin Islands,Male,2002,UNESCO_UIS Database_Sep2007,Number,235,
British Virgin Islands,Male,2001,UNESCO_UIS Database_Sep2007,Number,246,
British Virgin Islands,Male,2000,UNESCO_UIS Database_Sep2007,Number,210,
British Virgin Islands,Male,1999,UNESCO_UIS Database_Sep2007,Number,258,
Brunei,Female,2005,UNESCO_UIS Database_Sep2007,Number,3341,
Brunei,Female,2004,UNESCO_UIS Database_Sep2007,Number,3247,
Brunei,Female,2003,UNESCO_UIS Database_Sep2007,Number,2941,
Brunei,Female,2002,UNESCO_UIS Database_Sep2007,Number,2886,1
Brunei,Female,2001,UNESCO_UIS Database_Sep2007,Number,2830,
Brunei,Female,2000,UNESCO_UIS Database_Sep2007,Number,2580,
Brunei,Female,1999,UNESCO_UIS Database_Sep2007,Number,2442,
Brunei,Male,2005,UNESCO_UIS Database_Sep2007,Number,1682,
